"","ses_age","channel","Label","t"
"140",9,30,"E32",0.0441176470588236
"141",9,31,"E33",0.0514705882352941
"142",9,32,"E34",0.0625
"143",9,33,"E35",0.0808823529411764
"144",9,34,"E36",0.0698529411764706
"145",9,35,"E37",0.0919117647058825
"146",9,36,"E38",0.0404411764705882
"147",9,37,"E39",0.0551470588235294
"148",9,38,"E40",0.0514705882352941
"149",9,39,"E41",0.0330882352941176
"150",9,40,"E42",0.0588235294117647
"151",9,41,"E44",0.0588235294117648
"152",9,42,"E45",0.0404411764705882
"153",9,43,"E46",0.0294117647058824
"154",9,44,"E47",0.036764705882353
"155",9,45,"E50",0.0294117647058824
"156",9,46,"E51",0.0183823529411765
"157",9,47,"E52",0.0367647058823529
"158",9,48,"E53",0.0514705882352941
"159",9,49,"E54",0.0514705882352941
"160",9,50,"E55",0.0772058823529412
"161",9,51,"E57",0.0367647058823529
"162",9,52,"E58",0.0220588235294118
"163",9,53,"E59",0.0220588235294118
"164",9,54,"E60",0.0257352941176471
"165",9,55,"E61",0.0625
"166",9,56,"E62",0.0514705882352941
"167",9,57,"E64",0.0367647058823529
"168",9,58,"E65",0.0147058823529412
"169",9,59,"E66",0.0220588235294118
"170",9,60,"E67",0.0294117647058824
"171",9,61,"E69",0.0257352941176471
"172",9,62,"E70",0.0147058823529412
"173",9,63,"E71",0.0220588235294118
"174",9,64,"E72",0.0220588235294118
"175",9,65,"E74",0.0220588235294118
"176",9,66,"E75",0.0147058823529412
"177",9,67,"E76",0.0257352941176471
"178",9,68,"E77",0.0514705882352941
"179",9,69,"E78",0.0514705882352941
"180",9,70,"E79",0.0698529411764706
"181",9,71,"E80",0.0588235294117648
"182",9,72,"E82",0.0220588235294118
"183",9,73,"E83",0.0367647058823529
"184",9,74,"E84",0.0147058823529412
"185",9,75,"E85",0.0661764705882353
"186",9,76,"E86",0.0661764705882353
"187",9,77,"E87",0.0661764705882353
"188",9,78,"E89",0.0367647058823529
"189",9,79,"E90",0.0477941176470588
"190",9,80,"E91",0.0477941176470588
"191",9,81,"E92",0.0404411764705882
"192",9,82,"E93",0.0551470588235294
"193",9,83,"E95",0.0330882352941176
"194",9,84,"E96",0.0367647058823529
