"","event","channel","Label","t"
"159","EO",49,"E54",0.0397350993377483
"160","EO",50,"E55",0.0132450331125828
"161","EO",51,"E57",0.0198675496688742
"162","EO",52,"E58",0.0198675496688741
"163","EO",53,"E59",0.0198675496688742
"164","EO",54,"E60",0.0264900662251656
"165","EO",55,"E61",0.0132450331125828
"166","EO",56,"E62",0.0198675496688742
"167","EO",57,"E64",0.033112582781457
"168","EO",58,"E65",0.0198675496688742
"169","EO",59,"E66",0.0264900662251656
"170","EO",60,"E67",0.00662251655629139
"171","EO",61,"E69",0.033112582781457
"172","EO",62,"E70",0
"173","EO",63,"E71",0.0264900662251656
"174","EO",64,"E72",0.0198675496688742
"175","EO",65,"E74",0.0198675496688742
"176","EO",66,"E75",0.0066225165562914
"177","EO",67,"E76",0.0198675496688742
"178","EO",68,"E77",0.0132450331125828
"179","EO",69,"E78",0.00662251655629139
"180","EO",70,"E79",0.0264900662251656
"181","EO",71,"E80",0.0463576158940397
"182","EO",72,"E82",0.0264900662251655
"183","EO",73,"E83",0.0198675496688742
"184","EO",74,"E84",0.00662251655629138
"185","EO",75,"E85",0.0132450331125828
"186","EO",76,"E86",0.00662251655629138
"187","EO",77,"E87",0.0596026490066225
"188","EO",78,"E89",0.0397350993377484
"189","EO",79,"E90",0.0264900662251656
"190","EO",80,"E91",0.0463576158940397
"191","EO",81,"E92",0.033112582781457
"192","EO",82,"E93",0.0132450331125828
"193","EO",83,"E95",0.0132450331125828
"194","EO",84,"E96",0.0132450331125828
"195","EO",85,"E97",0.0132450331125828
"196","EO",86,"E98",0.0132450331125828
"197","EO",87,"E100",0.0198675496688742
"198","EO",88,"E101",0.0397350993377484
"199","EO",89,"E102",0.0463576158940397
"200","EO",90,"E103",0.0463576158940397
"201","EO",91,"E104",0.0066225165562914
"202","EO",92,"E105",0.033112582781457
"203","EO",93,"E106",0.033112582781457
"204","EO",94,"E108",0.0397350993377483
"205","EO",95,"E109",0.033112582781457
"206","EO",96,"E110",0.0529801324503311
"207","EO",97,"E111",0.0397350993377484
"208","EO",98,"E112",0.0264900662251655
"209","EO",99,"E114",0.0529801324503311
"210","EO",100,"E115",0.0132450331125828
"211","EO",101,"E116",0.0463576158940397
"212","EO",102,"E117",0.033112582781457
"213","EO",103,"E118",0.033112582781457
"214","EO",104,"E121",0.0264900662251656
"215","EO",105,"E122",0.0264900662251656
"216","EO",106,"E123",0.0264900662251656
"217","EO",107,"E124",0.0397350993377484
"218","EO",108,"Cz",0.0132450331125828
"219","Video",0,"E1",0.0769230769230769
"220","Video",1,"E2",0.0512820512820513
"221","Video",2,"E3",0.0256410256410256
"222","Video",3,"E4",0.076923076923077
"223","Video",4,"E5",0.0384615384615385
"224","Video",5,"E6",0.0256410256410257
"225","Video",6,"E7",0.115384615384615
"226","Video",7,"E8",0.0897435897435898
"227","Video",8,"E9",0.0384615384615385
"228","Video",9,"E10",0.0641025641025641
"229","Video",10,"E11",0.0512820512820513
"230","Video",11,"E12",0.0641025641025641
"231","Video",12,"E13",0.076923076923077
"232","Video",13,"E14",0.0256410256410256
"233","Video",14,"E15",0.0128205128205128
"234","Video",15,"E16",0.0384615384615385
"235","Video",16,"E18",0.0128205128205128
"236","Video",17,"E19",0.0384615384615385
"237","Video",18,"E20",0.076923076923077
"238","Video",19,"E21",0.0512820512820513
"239","Video",20,"E22",0.0256410256410256
"240","Video",21,"E23",0.0128205128205128
"241","Video",22,"E24",0.0512820512820513
"242","Video",23,"E25",0.0384615384615384
"243","Video",24,"E26",0.0256410256410256
"244","Video",25,"E27",0.0641025641025641
"245","Video",26,"E28",0.0641025641025641
"246","Video",27,"E29",0.0769230769230769
"247","Video",28,"E30",0.0384615384615385
"248","Video",29,"E31",0.0512820512820513
"249","Video",30,"E32",0.0641025641025641
"250","Video",31,"E33",0.0897435897435897
"251","Video",32,"E34",0.102564102564103
"252","Video",33,"E35",0.0769230769230769
"253","Video",34,"E36",0.0512820512820513
"254","Video",35,"E37",0.0512820512820513
"255","Video",36,"E38",0.0512820512820513
"256","Video",37,"E39",0.128205128205128
"257","Video",38,"E40",0.115384615384615
"258","Video",39,"E41",0.0512820512820513
"259","Video",40,"E42",0.0897435897435898
"260","Video",41,"E44",0
"261","Video",42,"E45",0.115384615384615
"262","Video",43,"E46",0.0769230769230769
"263","Video",44,"E47",0.0384615384615385
"264","Video",45,"E50",0.0769230769230769
"265","Video",46,"E51",0.0128205128205128
"266","Video",47,"E52",0.0128205128205128
"267","Video",48,"E53",0.0641025641025642
"268","Video",49,"E54",0.0256410256410256
"269","Video",50,"E55",0.0384615384615385
"270","Video",51,"E57",0.0512820512820513
"271","Video",52,"E58",0.0384615384615385
"272","Video",53,"E59",0.0128205128205128
"273","Video",54,"E60",0
"274","Video",55,"E61",0.0128205128205128
"275","Video",56,"E62",0.0641025641025641
"276","Video",57,"E64",0
"277","Video",58,"E65",0.0128205128205128
"278","Video",59,"E66",0
"279","Video",60,"E67",0.0128205128205128
"280","Video",61,"E69",0
"281","Video",62,"E70",0
"282","Video",63,"E71",0
"283","Video",64,"E72",0.0256410256410256
"284","Video",65,"E74",0.0128205128205128
"285","Video",66,"E75",0.0256410256410256
"286","Video",67,"E76",0.0384615384615385
"287","Video",68,"E77",0.0128205128205128
"288","Video",69,"E78",0.0128205128205128
"289","Video",70,"E79",0.0128205128205128
"290","Video",71,"E80",0.0128205128205128
"291","Video",72,"E82",0.0512820512820513
"292","Video",73,"E83",0.0512820512820513
"293","Video",74,"E84",0.0128205128205128
"294","Video",75,"E85",0.0512820512820513
"295","Video",76,"E86",0.0256410256410256
"296","Video",77,"E87",0.0641025641025641
"297","Video",78,"E89",0.102564102564103
"298","Video",79,"E90",0.0128205128205128
"299","Video",80,"E91",0.0512820512820513
"300","Video",81,"E92",0.0641025641025641
"301","Video",82,"E93",0.0384615384615385
"302","Video",83,"E95",0.0256410256410256
"303","Video",84,"E96",0.0256410256410256
"304","Video",85,"E97",0.0512820512820513
"305","Video",86,"E98",0.0128205128205128
"306","Video",87,"E100",0.0384615384615385
"307","Video",88,"E101",0.0512820512820513
"308","Video",89,"E102",0.0384615384615385
"309","Video",90,"E103",0.0641025641025641
"310","Video",91,"E104",0.0256410256410256
"311","Video",92,"E105",0.0384615384615385
"312","Video",93,"E106",0.0641025641025641
"313","Video",94,"E108",0.0512820512820513
"314","Video",95,"E109",0.0512820512820513
"315","Video",96,"E110",0.102564102564103
"316","Video",97,"E111",0.141025641025641
"317","Video",98,"E112",0.0384615384615385
"318","Video",99,"E114",0.0641025641025641
"319","Video",100,"E115",0.0769230769230769
"320","Video",101,"E116",0.0384615384615385
"321","Video",102,"E117",0.0512820512820513
"322","Video",103,"E118",0.0384615384615385
"323","Video",104,"E121",0.0256410256410256
"324","Video",105,"E122",0.0256410256410256
"325","Video",106,"E123",0.0512820512820513
"326","Video",107,"E124",0.0641025641025641
"327","Video",108,"Cz",0.0256410256410256
