"","ses_age","channel","Label","t"
"147",9,37,"E39",0.210660812538381
"148",9,38,"E40",0.185781673393423
"149",9,39,"E41",0.177575334533095
"150",9,40,"E42",0.158376300621332
"151",9,41,"E44",0.196105710091761
"152",9,42,"E45",0.182946975510826
"153",9,43,"E46",0.157692671017297
"154",9,44,"E47",0.14381955081856
"155",9,45,"E50",0.165177026009994
"156",9,46,"E51",0.146554980689412
"157",9,47,"E52",0.167402886168047
"158",9,48,"E53",0.182379029395506
"159",9,49,"E54",0.218793571738552
"160",9,50,"E55",0.198856035358461
"161",9,51,"E57",0.201757680468724
"162",9,52,"E58",0.189609045619019
"163",9,53,"E59",0.172891863704409
"164",9,54,"E60",0.169133410458128
"165",9,55,"E61",0.197045352373436
"166",9,56,"E62",0.18101539339772
"167",9,57,"E64",0.20937758959749
"168",9,58,"E65",0.202829886880517
"169",9,59,"E66",0.197123076830558
"170",9,60,"E67",0.215082401454676
"171",9,61,"E69",0.213200313280084
"172",9,62,"E70",0.200717766278688
"173",9,63,"E71",0.209804621548811
"174",9,64,"E72",0.20160390386771
"175",9,65,"E74",0.19041618430361
"176",9,66,"E75",0.187358865387999
"177",9,67,"E76",0.187603645580812
"178",9,68,"E77",0.214924393234195
"179",9,69,"E78",0.214067111475604
"180",9,70,"E79",0.203835624545689
"181",9,71,"E80",0.194078041451104
"182",9,72,"E82",0.202721895868774
"183",9,73,"E83",0.197710796528226
"184",9,74,"E84",0.213180358275024
"185",9,75,"E85",0.198937575520242
"186",9,76,"E86",0.19218712507968
"187",9,77,"E87",0.221467191353391
"188",9,78,"E89",0.216030517272346
"189",9,79,"E90",0.21367889003632
"190",9,80,"E91",0.205216947022925
"191",9,81,"E92",0.174567094413237
"192",9,82,"E93",0.178140221087522
"193",9,83,"E95",0.223121881619701
"194",9,84,"E96",0.205339444049099
"195",9,85,"E97",0.170153198190236
"196",9,86,"E98",0.154867158802927
"197",9,87,"E100",0.199740966823581
"198",9,88,"E101",0.18218303364405
"199",9,89,"E102",0.165068506864642
"200",9,90,"E103",0.165563667280816
"201",9,91,"E104",0.189544997921972
"202",9,92,"E105",0.2032925788064
"203",9,93,"E106",0.191494601488967
"204",9,94,"E108",0.183384823280732
"205",9,95,"E109",0.163418559376723
"206",9,96,"E110",0.203172089323835
"207",9,97,"E111",0.206930024803674
"208",9,98,"E112",0.18383770482391
"209",9,99,"E114",0.200139585395673
"210",9,100,"E115",0.210898642549082
"211",9,101,"E116",0.187058395699257
"212",9,102,"E117",0.212040226483174
"213",9,103,"E118",0.186001096488203
"214",9,104,"E121",0.230325927358185
"215",9,105,"E122",0.222516758525253
"216",9,106,"E123",0.217240124456067
"217",9,107,"E124",0.190982903913066
"218",9,108,"Cz",0.1850716271496
"219",16,0,"E1",0.201088097624581
"220",16,1,"E2",0.192470197575659
"221",16,2,"E3",0.17927390966292
"222",16,3,"E4",0.152503789758393
"223",16,4,"E5",0.148686882009699
"224",16,5,"E6",0.151951379472259
"225",16,6,"E7",0.174147306444017
"226",16,7,"E8",0.195867326503234
"227",16,8,"E9",0.198891723780619
"228",16,9,"E10",0.170423564188046
"229",16,10,"E11",0.172669570130115
"230",16,11,"E12",0.166479480564725
"231",16,12,"E13",0.163540151424196
"232",16,13,"E14",0.186342056016771
"233",16,14,"E15",0.168740426622805
"234",16,15,"E16",0.177792906573991
"235",16,16,"E18",0.188277650474624
"236",16,17,"E19",0.16654875003089
"237",16,18,"E20",0.156118860750742
"238",16,19,"E21",0.148644231731646
"239",16,20,"E22",0.191434764861359
"240",16,21,"E23",0.192304332658981
"241",16,22,"E24",0.173516370552819
"242",16,23,"E25",0.165105529688957
"243",16,24,"E26",0.197282787549989
"244",16,25,"E27",0.191803503537208
"245",16,26,"E28",0.171165339788833
"246",16,27,"E29",0.168458516725995
"247",16,28,"E30",0.163931031683372
"248",16,29,"E31",0.182204065226786
"249",16,30,"E32",0.166741892958419
"250",16,31,"E33",0.195635635554025
"251",16,32,"E34",0.182694481416429
"252",16,33,"E35",0.164001300609799
"253",16,34,"E36",0.162561912770606
"254",16,35,"E37",0.164406706847272
"255",16,36,"E38",0.156546237076521
"256",16,37,"E39",0.183220800829157
"257",16,38,"E40",0.143989251561826
"258",16,39,"E41",0.13811108586034
"259",16,40,"E42",0.130505962863904
"260",16,41,"E44",0.170490874353491
"261",16,42,"E45",0.140620612366714
"262",16,43,"E46",0.122406215266901
