"","event","channel","Label","t"
"137","EO",27,"E29",0.102253093130237
"138","EO",28,"E30",0.0884883940510628
"139","EO",29,"E31",0.099039999298417
"140","EO",30,"E32",0.10317750421872
"141","EO",31,"E33",0.107369198163547
"142","EO",32,"E34",0.104267879720775
"143","EO",33,"E35",0.0845287086711263
"144","EO",34,"E36",0.0920797362684679
"145","EO",35,"E37",0.108095043176067
"146","EO",36,"E38",0.101178071352134
"147","EO",37,"E39",0.106863304516046
"148","EO",38,"E40",0.07805802523613
"149","EO",39,"E41",0.0960122012248252
"150","EO",40,"E42",0.0935838391538115
"151","EO",41,"E44",0.0893903331157311
"152","EO",42,"E45",0.0882586291931679
"153","EO",43,"E46",0.088096957500598
"154","EO",44,"E47",0.0976687570841669
"155","EO",45,"E50",0.113793428657398
"156","EO",46,"E51",0.104156310941402
"157","EO",47,"E52",0.0995843406047892
"158","EO",48,"E53",0.0918385743853749
"159","EO",49,"E54",0.111908211126136
"160","EO",50,"E55",0.093126884375499
"161","EO",51,"E57",0.0990893477362505
"162","EO",52,"E58",0.0941711231873639
"163","EO",53,"E59",0.0904865117172082
"164","EO",54,"E60",0.0747936792869995
"165","EO",55,"E61",0.101688163996395
"166","EO",56,"E62",0.100886227627237
"167","EO",57,"E64",0.0973773415332924
"168","EO",58,"E65",0.107889753467872
"169","EO",59,"E66",0.0962863996499755
"170","EO",60,"E67",0.0874202912953701
"171","EO",61,"E69",0.0994298102773407
"172","EO",62,"E70",0.0925896362820907
"173","EO",63,"E71",0.0896565802677375
"174","EO",64,"E72",0.0932247124954897
"175","EO",65,"E74",0.0889527419535264
"176","EO",66,"E75",0.0985447673710936
"177","EO",67,"E76",0.0963247074158851
"178","EO",68,"E77",0.0985068534356998
"179","EO",69,"E78",0.0843647426963601
"180","EO",70,"E79",0.0988502870878965
"181","EO",71,"E80",0.0899255413202562
"182","EO",72,"E82",0.111915988409379
"183","EO",73,"E83",0.104900366655498
"184","EO",74,"E84",0.102455647667947
"185","EO",75,"E85",0.102472103811537
"186","EO",76,"E86",0.0973214514343164
"187","EO",77,"E87",0.0840110684038995
"188","EO",78,"E89",0.105959439205941
"189","EO",79,"E90",0.092396162077629
"190","EO",80,"E91",0.100733880047932
"191","EO",81,"E92",0.0981899339202387
"192","EO",82,"E93",0.0972999859583049
"193","EO",83,"E95",0.0999912793001139
"194","EO",84,"E96",0.10639225901107
"195","EO",85,"E97",0.0937512774347269
"196","EO",86,"E98",0.0884945535645334
"197","EO",87,"E100",0.0960668696272988
"198","EO",88,"E101",0.0978104872899772
"199","EO",89,"E102",0.100793266290245
"200","EO",90,"E103",0.0880980984959731
"201","EO",91,"E104",0.089256863729857
"202","EO",92,"E105",0.0946505602123644
"203","EO",93,"E106",0.0950043343357344
"204","EO",94,"E108",0.126745577505333
"205","EO",95,"E109",0.0972815823332721
"206","EO",96,"E110",0.0981517793268128
"207","EO",97,"E111",0.111450762302571
"208","EO",98,"E112",0.0991443829718293
"209","EO",99,"E114",0.0990417399469803
"210","EO",100,"E115",0.112336627596827
"211","EO",101,"E116",0.115797563365058
"212","EO",102,"E117",0.11307284098234
"213","EO",103,"E118",0.112772900305943
"214","EO",104,"E121",0.107265929673648
"215","EO",105,"E122",0.118332566267015
"216","EO",106,"E123",0.127606855634394
"217","EO",107,"E124",0.12918832297769
"218","EO",108,"Cz",0.0930387302568489
"219","Video",0,"E1",0.138221491398051
"220","Video",1,"E2",0.131680775446028
"221","Video",2,"E3",0.125750504940657
"222","Video",3,"E4",0.122444902326406
"223","Video",4,"E5",0.113437970231885
"224","Video",5,"E6",0.0976276526398836
"225","Video",6,"E7",0.110444118228297
"226","Video",7,"E8",0.132229928664331
"227","Video",8,"E9",0.140345212070823
"228","Video",9,"E10",0.129017923757103
"229","Video",10,"E11",0.124618112993431
"230","Video",11,"E12",0.145847102804415
"231","Video",12,"E13",0.111148322306224
"232","Video",13,"E14",0.138949858304079
"233","Video",14,"E15",0.131812534208246
"234","Video",15,"E16",0.123296008379779
"235","Video",16,"E18",0.120699760568026
"236","Video",17,"E19",0.131986678992325
"237","Video",18,"E20",0.138724071985809
"238","Video",19,"E21",0.124852160298125
"239","Video",20,"E22",0.127839452926244
"240","Video",21,"E23",0.134530374124574
"241","Video",22,"E24",0.146981344641382
"242","Video",23,"E25",0.149189077215518
"243","Video",24,"E26",0.128265480629095
"244","Video",25,"E27",0.149353780794593
